stream,catchment,position,rural,urban
KIN1,Kinzig,oberh. Herolz,x,
KIN2,Kinzig,Herolz, ,x
KIN3,Kinzig,Schlüchtern (S7),,x
KIN4,Kinzig,unterh. Niederzell (O7),x, 
STE1,Steinau,Nähe Teufelshöhle,x,
STE2,Steinau,Steinau, ,x
SAL1,Salz,nordwestl. Kerbersdorf,x,
SAL2,Salz,Eckardroth, ,x
BRA1,Bracht,Hitzkirchen,,x
BRA2,Bracht,südöstl. Hitzkirchen,x, 
ORB1,Orb,Bad Orb,,x
ORB2,Orb,unterh. Bad Orb,x, 
BIE1,Bieber,Rossbach,,x
BIE2,Bieber,oberh. Lanzingen,x, 
GRU1,Gründau,unterh. Breitenborn,x,
GRU2,Gründau,Hain-Gründau, ,x
FAL1,Fallbach,östl. Ravolzhausen,x,
FAL2,Fallbach,Langendiebach, ,x
KRE1,Krebsbach,Bruchköbel,,x
KRE2,Krebsbach,oberh. Mündung,x, 
