"effect","term","estimate","std.error","statistic","df","p.value","Catchment","Endpoint"
"fixed","(Intercept)",0.0269366666666666,0.00531804667363116,5.06514295939308,3.99999999330652,0.00715470867875078,"Boye","Macroinvertebrate"
"fixed","RestStatusrecently_restored",-0.0130122222222222,0.00614075135716789,-2.11899513030005,3.9999999933547,0.101456819357358,"Boye","Macroinvertebrate"
"fixed","RestStatuslong_restored",-0.0147677777777777,0.00614075135716789,-2.40488124641943,3.99999999324329,0.0739638494151975,"Boye","Macroinvertebrate"
"fixed","(Intercept)",0.00333666666666681,0.00127482567155887,2.61735132976002,3.99999686461034,0.0589630737280593,"Boye","Microbial"
"fixed","RestStatusrecently_restored",0.000648888888888743,0.00147204188928871,0.440808711769939,3.99999686507261,0.682128130925077,"Boye","Microbial"
"fixed","RestStatuslong_restored",-0.0000833333333334774,0.00147204188928871,-0.0566107078472774,3.99999686518275,0.957570294878294,"Boye","Microbial"
"fixed","(Intercept)",0.0302733333333333,0.00588443207352933,5.1446482778713,3.99999998874224,0.00676946735629733,"Boye","Total"
"fixed","RestStatusrecently_restored",-0.0123633333333333,0.00679475688336045,-1.81954020512635,3.9999999885994,0.142953436324945,"Boye","Total"
"fixed","RestStatuslong_restored",-0.0148511111111111,0.00679475688336045,-2.18567218313281,3.99999998873207,0.0941459412742506,"Boye","Total"
