stream,catchment,type,replicate,Gammarids,Trichoptera,Chironomids,Others,Comments
BOYkl,Boye,coarse,rep 1,200,3,0,0,Gammarids: value slightly above reported
BOYkl,Boye,coarse,rep 2,200,1,0,0,Gammarids: value slightly above reported
BOYkl,Boye,coarse,rep 3,100,1,0,0,Gammarids: value slightly above reported
BOYohB224,Boye,coarse,rep 1,5,3,0,0,
BOYohB224,Boye,coarse,rep 2,6,0,0,Gastropoda  1,
BOYohB224,Boye,coarse,rep 3,6,0,0,Crustacea 2,Gammarids: value slightly above reported
BOYohBr,Boye,coarse,rep 1,10,2,0,Slug 2,Gammarids: value slightly above reported
BOYohBr,Boye,coarse,rep 2,1,4,0,Leeches 1,
BOYohBr,Boye,coarse,rep 3,14,8,0,"Snail 5, Mussel 1",
BOYohKi,Boye,coarse,rep 1,80,0,0,Snail 1,Gammarids: value slightly above reported
BOYohKi,Boye,coarse,rep 2,70,0,0,Snail 1,Gammarids: value slightly above reported
BOYohKi,Boye,coarse,rep 3,50,5,0,Ephemeroptera  3,Gammarids: value slightly above reported
BOYohSp,Boye,coarse,rep 1,2,7,0,Mussel 1,
BOYohSp,Boye,coarse,rep 2,20,9,0,"Diptera 4, Gastropoda  1, Coleoptera 1",Gammarids: value slightly above reported
BOYohSp,Boye,coarse,rep 3,5,2,5,"Snail 1, Mussels 2",Gammarids: value slightly above reported
BOYuhHa,Boye,coarse,rep 1,4,0,0,"Leeches 1, Gastropoda  2",Gammarids: value slightly above reported
BOYuhHa,Boye,coarse,rep 2,4,3,0,Larvae,UID
BOYuhHa,Boye,coarse,rep 3,0,1,0,0,
BOYuhSp,Boye,coarse,rep 1,12,9,0,0,
BOYuhSp,Boye,coarse,rep 2,20,9,0,"Diptera 4, Gastropoda  1, Coleoptera 1",Gammarids: value slightly above reported
BOYuhSp,Boye,coarse,rep 3,20,5,5,0,"Gammarids: value slightly above reported number;
 Trichoptera: value slightly above reported number;
 Chironomids: value slightly above reported number"
BRAob,Boye,coarse,rep 1,15,10,0,"Isopoda 17, Gastropoda  1, Coleoptera 1",
BRAob,Boye,coarse,rep 2,6,6,0,"Isopoda 17, Leeches 1",
BRAob,Boye,coarse,rep 3,39,5,0,Leeches 1,
BRAohBo,Boye,coarse,rep 1,5,0,0,"Isopoda 15, Slug 1, Leeches 5",
BRAohBo,Boye,coarse,rep 2,2,0,0,"Leeches 2, Isopoda 25, ",
BRAohBo,Boye,coarse,rep 3,1,0,0,"Leeches 5, Isopoda 5",
HAAob,Boye,coarse,rep 1,70,9,2,0,Gammarids: value slightly above reported
HAAob,Boye,coarse,rep 2,40,6,1,"Gastropoda  2, Hirudinea 1,",Gammarids: value slightly above reported
HAAob,Boye,coarse,rep 3,20,6,1,"Gastropoda  3, Diptera 2",Gammarids: value slightly above reported
HAAun,Boye,coarse,rep 1,30,1,0,Plecoptera1,Gammarids: value slightly above reported
HAAun,Boye,coarse,rep 2,20,0,0,Odonata 1,Gammarids: value slightly above reported
HAAun,Boye,coarse,rep 3,30,2,0,"Diptera 12, Mussel 1",Gammarids: value slightly above reported
KIRob,Boye,coarse,rep 1,17,1,0,Isopoda 1,
KIRob,Boye,coarse,rep 2,25,0,0,0,
KIRob,Boye,coarse,rep 3,15,1,0,Leeches 2,
KIRun,Boye,coarse,rep 1,30,3,0,"Megaloptera 1, Crustacea 2, Leeches 1",Gammarids: value slightly above reported
KIRun,Boye,coarse,rep 2,20,1,0,Leeches 1,Gammarids: value slightly above reported
KIRun,Boye,coarse,rep 3,20,2,0,0,Gammarids: value slightly above reported
LIEohBo,Boye,coarse,rep 1,10,1,0,"Mussels 10, Coleoptera 1, Leeches 7, Gastropoda  10, Deptera 2",
LIEohBo,Boye,coarse,rep 2,5,1,0,"Leeches 10, Coleoptera 3, Slug 1",
LIEohBo,Boye,coarse,rep 3,0,0,0,"Mussel 1, Leeches 2, Coleoptera  1",
NATohBo,Boye,coarse,rep 1,2,0,4,Leeches 10,
NATohBo,Boye,coarse,rep 2,4,0,0,Leeches 4,
NATohBo,Boye,coarse,rep 3,1,0,0,Unidentified4,
QUAohBo,Boye,coarse,rep 1,20,10,0,"Hirudinea 6, Plecoptera 1, Unidentified4",Gammarids: value slightly above reported
QUAohBo,Boye,coarse,rep 2,20,8,0,"Hirudinea 5, Gastropoda  1, Diptera 1",Gammarids: value slightly above reported
QUAohBo,Boye,coarse,rep 3,8,2,0,"Hirundinea 10, Gastropoda  1, Unidentified12",
ROTB,Boye,coarse,rep 1,4,0,0,0,
ROTB,Boye,coarse,rep 2,0,12,0,0,
ROTB,Boye,coarse,rep 3,30,2,0,0,
SCHB,Boye,coarse,rep 1,7,8,0,0,
SCHB,Boye,coarse,rep 2,3,3,0,0,
SCHB,Boye,coarse,rep 3,0,14,0,0,
SCHohVo,Boye,coarse,rep 1,30,1,0,0,Gammarids: value slightly above reported
SCHohVo,Boye,coarse,rep 2,10,0,0,0,Gammarids: value slightly above reported
SCHohVo,Boye,coarse,rep 3,60,0,0,Crustacea 1,Gammarids: value slightly above reported
SPEB,Boye,coarse,rep 1,5,0,1,0,Gammarids: value slightly above reported
SPEB,Boye,coarse,rep 2,30,0,0,0,Gammarids: value slightly above reported
SPEB,Boye,coarse,rep 3,29,0,0,"Isopoda 2, Plecoptera 1",Gammarids: value slightly above reported
VORohBo,Boye,coarse,rep 1,30,0,0,0,Gammarids: value slightly above reported
VORohBo,Boye,coarse,rep 2,2,0,0,Isopoda 1,
VORohBo,Boye,coarse,rep 3,37,0,0,0,
VORuhSc,Boye,coarse,rep 1,90,4,0,"Crustacea 2, Gastropoda  1, Coleoptera 1",Gammarids: value slightly above reported
VORuhSc,Boye,coarse,rep 2,10,0,0,Crustacea 1,Gammarids: value slightly above reported
VORuhSc,Boye,coarse,rep 3,10,2,1,"Leeches 1, Crustacea 1",Gammarids: value slightly above reported
WITob,Boye,coarse,rep 1,100,4,2,"Gastropoda  2,Diptera 4, Unidentified1",Gammarids: value slightly above reported
WITob,Boye,coarse,rep 2,90,3,7,"Gastropoda  1, Diptera 1",Gammarids: value slightly above reported
WITob,Boye,coarse,rep 3,10,6,1,0,Gammarids: value slightly above reported
BIE1,Kinzig,coarse,rep 1,20,10,0,Plecoptera 10,Gammarids: value slightly above reported
BIE1,Kinzig,coarse,rep 2,0,0,0,0,
BIE1,Kinzig,coarse,rep 3,30,3,0,"Plecoptera 3, Ephemeroptera  4",
BIE2,Kinzig,coarse,rep 1,7,20,0,0,"Gammarids: value slightly above reported number; 
Trichoptera: value slightly above reported number"
BIE2,Kinzig,coarse,rep 2,10,10,0,0,"Gammarids: value slightly above reported number; 
Trichoptera: value slightly above reported number"
BIE2,Kinzig,coarse,rep 3,20,50,2,0,"Gammarids: value slightly above reported number; 
Trichoptera: value slightly above reported number"
BRA1,Kinzig,coarse,rep 1,11,1,0,Ephemeroptera  1,Gammarids: value slightly above reported number
BRA1,Kinzig,coarse,rep 2,14,0,7,Ephemeroptera  7,Gammarids: value slightly above reported number
BRA1,Kinzig,coarse,rep 3,20,1,0,Ephemeroptera  10,
BRA2,Kinzig,coarse,rep 1,2,2,5,Ephemeroptera  20,
BRA2,Kinzig,coarse,rep 2,5,2,7,Ephemeroptera  5,
BRA2,Kinzig,coarse,rep 3,NA,NA,NA,NA,bag lost in process
FAL1,Kinzig,coarse,rep 1,17,0,1,0,
FAL1,Kinzig,coarse,rep 2,10,0,0,0,
FAL1,Kinzig,coarse,rep 3,7,1,1,0,
FAL2,Kinzig,coarse,rep 1,NA,NA,NA,NA,Bag found at stream shore
FAL2,Kinzig,coarse,rep 2,NA,NA,NA,NA,Bag found at stream shore
FAL2,Kinzig,coarse,rep 3,NA,NA,NA,NA,Bag found at stream shore
GRU1,Kinzig,coarse,rep 1,7,0,1,Ephemeroptera  1,
GRU1,Kinzig,coarse,rep 2,9,0,2,0,
GRU1,Kinzig,coarse,rep 3,7,0,8,0,
GRU2,Kinzig,coarse,rep 1,20,0,3,Ephemeroptera 6,Gammarids: value slightly above reported number
GRU2,Kinzig,coarse,rep 2,80,0,0,"Ephemeroptera  1, Leeches 1",Gammarids: value slightly above reported number
GRU2,Kinzig,coarse,rep 3,60,0,7,Ephemeroptera  3,Gammarids: value slightly above reported number
KIN1,Kinzig,coarse,rep 1,6,0,0,Ephemeroptera  10,Chironomids and Ephemeroptera: value slightly above reported number
KIN1,Kinzig,coarse,rep 2,7,0,10,Ephemeroptera  10,Chironomids and Ephemeroptera: value slightly above reported number
KIN1,Kinzig,coarse,rep 3,0,0,10,Ephemeroptera  55,Chironomids and Ephemeroptera: value slightly above reported number
KIN2,Kinzig,coarse,rep 1,5,0,10,0,
KIN2,Kinzig,coarse,rep 2,30,4,5,0,Gammarids and Chironomids: value slightly above reported number
KIN2,Kinzig,coarse,rep 3,20,4,40,Ephemeroptera 1,Gammarids and Chironomids: value slightly above reported number
KIN3,Kinzig,coarse,rep 1,4,2,3,,
KIN3,Kinzig,coarse,rep 2,9,0,20,Ephemeroptera  6,Chironomids: value slightly above reported number
KIN3,Kinzig,coarse,rep 3,0,0,15,Ephemeroptera  4,Chironomids: value slightly above reported number
KIN4,Kinzig,coarse,rep 1,7,2,3,0,
KIN4,Kinzig,coarse,rep 2,0,1,7,0,
KIN4,Kinzig,coarse,rep 3,14,7,0,Ephemeroptera  2,
KRE1,Kinzig,coarse,rep 1,70,1,12,Leeches 1,Gammarids: value slightly above reported number
KRE1,Kinzig,coarse,rep 2,80,2,0,0,Gammarids: value slightly above reported number
KRE1,Kinzig,coarse,rep 3,85,13,0,0,Gammarids: value slightly above reported number
KRE2,Kinzig,coarse,rep 1,100,0,0,0,Gammarids: value slightly above reported number
KRE2,Kinzig,coarse,rep 2,50,0,0,Leeches 1,Gammarids: value slightly above reported number
KRE2,Kinzig,coarse,rep 3,100,0,0,Ephemeroptera  1,Gammarids: value slightly above reported number
KLI,Kinzig,coarse,rep 1,0,7,0,0,
KLI,Kinzig,coarse,rep 2,0,6,0,0,
KLI,Kinzig,coarse,rep 3,0,2,0,0,
ORB1,Kinzig,coarse,rep 1,10,0,5,Unidentified 1,
ORB1,Kinzig,coarse,rep 2,20,0,5,0,Gammarids: value slightly above reported number
ORB1,Kinzig,coarse,rep 3,25,0,0,0,
ORB2,Kinzig,coarse,rep 1,40,2,0,0,
ORB2,Kinzig,coarse,rep 2,10,2,0,0,
ORB2,Kinzig,coarse,rep 3,30,0,0,0,Gammarids: value slightly above reported number
SAL1,Kinzig,coarse,rep 1,0,0,0,Ephemeroptera  15,Ephemeroptera: value slightly above reported number
SAL1,Kinzig,coarse,rep 2,0,0,5,Ephemeroptera  10,
SAL1,Kinzig,coarse,rep 3,0,0,10,Ephemeroptera  20,Ephemeroptera: value slightly above reported number
SAL2,Kinzig,coarse,rep 1,0,1,0,0,
SAL2,Kinzig,coarse,rep 2,0,1,5,"Ephemeroptera  10, Diptera 1",Ephemeroptera: value slightly above reported number
SAL2,Kinzig,coarse,rep 3,2,5,5,Diptera 1,
STE1,Kinzig,coarse,rep 1,0,0,3,Plecoptera 15,
STE1,Kinzig,coarse,rep 2,0,7,2,"Diptera 1, Plecoptera 20",plecoptera: value slightly above reported number
STE1,Kinzig,coarse,rep 3,0,6,8,"Plecoptera 30, Coleoptera 6, Diptera 4",plecoptera: value slightly above reported number
STE2,Kinzig,coarse,rep 1,0,0,6,Plecoptera 1,
STE2,Kinzig,coarse,rep 2,0,2,25,0,
STE2,Kinzig,coarse,rep 3,1,2,37,0,
,,,,,,,,
