"var1","var2","r"
"tn_mg_l","no3_mg_l",0.999
"ca_mg_l","fe_mg_l",0.998
"na_mg_l","cl_mg_l",0.993
"pct_rural","pct_agri",-0.989
"ca_mg_l","conductivity_u_s_cm",0.967
"fe_mg_l","conductivity_u_s_cm",0.965
"hco3_mg_l","conductivity_u_s_cm",0.96
"hco3_mg_l","mg_mg_l",0.955
"so4_mg_l","cl_mg_l",0.954
"hco3_mg_l","fe_mg_l",0.95
"na_mg_l","so4_mg_l",0.947
"hco3_mg_l","ca_mg_l",0.943
"pct_agri","cd_mg_l",-0.939
"mg_mg_l","fe_mg_l",0.932
"mg_mg_l","conductivity_u_s_cm",0.93
"cl_mg_l","conductivity_u_s_cm",0.925
"pct_rural","cd_mg_l",0.922
"mg_mg_l","ca_mg_l",0.921
"na_mg_l","conductivity_u_s_cm",0.92
"ca_mg_l","cl_mg_l",0.916
"area_agric","total_area_km2",0.912
"fe_mg_l","cl_mg_l",0.907
"na_mg_l","ca_mg_l",0.898
"hco3_mg_l","cl_mg_l",0.891
"na_mg_l","tn_mg_l",0.89
"na_mg_l","fe_mg_l",0.887
"na_mg_l","no3_mg_l",0.879
"ca_mg_l","so4_mg_l",0.879
"cl_mg_l","tn_mg_l",0.876
"na_mg_l","nh4_mg_l",0.873
"cl_mg_l","no3_mg_l",0.867
"ca_mg_l","ni_mg_l",0.866
"so4_mg_l","conductivity_u_s_cm",0.865
"hco3_mg_l","na_mg_l",0.863
"fe_mg_l","so4_mg_l",0.86
"mg_mg_l","cl_mg_l",0.855
"ni_mg_l","fe_mg_l",0.854
"ni_mg_l","so4_mg_l",0.851
"cl_mg_l","nh4_mg_l",0.841
"na_mg_l","mg_mg_l",0.834
"ni_mg_l","cl_mg_l",0.828
"pct_urban","area_urban",0.827
"hco3_mg_l","so4_mg_l",0.825
"no2_mg_l","nh4_mg_l",0.821
"k_mg_l","so4_mg_l",0.814
"na_mg_l","ni_mg_l",0.81
"pct_rural","mg_mg_l",-0.799
"nh4_mg_l","conductivity_u_s_cm",0.798
"so4_mg_l","nh4_mg_l",0.796
"ni_mg_l","conductivity_u_s_cm",0.788
"tn_mg_l","nh4_mg_l",0.786
"so4_mg_l","tn_mg_l",0.782
"k_mg_l","cu_mg_l",0.782
"pct_agri","p_h",0.779
"tn_mg_l","conductivity_u_s_cm",0.779
"pct_rural","area_agric",-0.779
"hco3_mg_l","ni_mg_l",0.778
"mg_mg_l","tn_mg_l",0.775
"pct_agri","area_agric",0.775
"so4_mg_l","no3_mg_l",0.772
"cd_mg_l","p_h",-0.768
"mg_mg_l","no3_mg_l",0.768
"no3_mg_l","conductivity_u_s_cm",0.767
"no3_mg_l","nh4_mg_l",0.762
"ca_mg_l","tn_mg_l",0.756
"pct_rural","p_h",-0.752
"hco3_mg_l","nh4_mg_l",0.751
"ca_mg_l","no3_mg_l",0.75
"zn_mg_l","pb_mg_l",0.75
"tn_mg_l","no2_mg_l",0.749
"na_mg_l","no2_mg_l",0.744
"co3_mg_l","so4_mg_l",0.743
"mg_mg_l","ni_mg_l",0.743
"meso_pct","tn_mg_l",-0.739
"fe_mg_l","tn_mg_l",0.736
"meso_pct","no3_mg_l",-0.735
"mg_mg_l","so4_mg_l",0.733
"no2_mg_l","conductivity_u_s_cm",0.732
"pct_agri","mg_mg_l",0.731
"no3_mg_l","no2_mg_l",0.729
"fe_mg_l","no3_mg_l",0.729
"hco3_mg_l","tn_mg_l",0.725
"cu_mg_l","so4_mg_l",0.72
"pct_urban","k_mg_l",0.72
"makro_pct","do_mg_l",0.715
"hco3_mg_l","no3_mg_l",0.713
"co3_mg_l","ni_mg_l",0.712
"co3_mg_l","cl_mg_l",0.71
"pct_urban","so4_mg_l",0.709
"meso_pct","na_mg_l",-0.709
"psam_pct","so4_mg_l",0.705
"ni_mg_l","water_level_cm",0.702
