"stream","LandUse","n","mean_k","var_k","rel_var"
"BIE1","urban",3,0.000786666666666667,0.0000000650333333333333,0.105088336684861
"BIE2","rural",3,0.00055,0.0000001569,0.518677685950413
"BRA1","urban",3,0.000723333333333333,0.0000000177333333333333,0.0338932659432139
"BRA2","rural",2,0.00217,0.00000072,0.152901951623521
"FAL1","rural",3,0.001,0.0000000163,0.0163
"GRU1","rural",1,0.00023,NA,NA
"GRU2","urban",3,0.000316666666666667,0.0000000120333333333333,0.12
"KIN1","rural",3,0.00067,0.0000000031,0.00690576965916686
"KIN2","urban",3,0.000626666666666667,0.0000000681333333333333,0.173494794024445
"KIN3","urban",3,0.000856666666666667,0.000000129033333333333,0.175824009447531
"KIN4","rural",3,0.000946666666666667,0.0000000616333333333333,0.0687735568339615
"KRE1","urban",3,0.00088,0.0000000079,0.0102014462809917
"KRE2","rural",3,0.00114333333333333,0.0000000617333333333334,0.0472252207838571
"ORB1","urban",3,0.00061,0.0000002548,0.684762160709487
"ORB2","rural",3,0.00042,0.0000002532,1.43537414965986
"SAL1","rural",3,0.00124,0.0000001747,0.113618626430801
"SAL2","urban",3,0.00165333333333333,0.000000250133333333333,0.091506243496358
"STE1","rural",3,0.00125333333333333,0.000000574533333333333,0.365748076052513
"STE2","urban",3,0.000703333333333333,0.0000000702333333333333,0.141977942993194
