"stream","type","mean_AFDM","sd_AFDM","n"
"BIE1","coarse",1173.33333333333,439.392004175467,3
"BIE1","fine",2191.66666666667,74.0967835559235,3
"BIE2","coarse",503.666666666667,184.906282568585,3
"BIE2","fine",2282,119.264412127005,3
"BOYkl","coarse",197.333333333333,58.3209510667764,3
"BOYkl","fine",2145,36.8646171823334,3
"BOYohB224","coarse",672.333333333333,139.101881127946,3
"BOYohB224","fine",2229,52.7162214123888,3
"BOYohBr","coarse",303.333333333333,91.8168466749612,3
"BOYohBr","fine",1941.33333333333,77.6809715009625,3
"BOYohKi","coarse",802.333333333333,449.795879631343,3
"BOYohKi","fine",2213.33333333333,113.738003030356,3
"BOYohSp","coarse",822.666666666667,602.243583057,3
"BOYohSp","fine",2188,98.726896031426,3
"BOYuhHa","coarse",1046.66666666667,330.601472067705,3
"BOYuhHa","fine",2045.33333333333,49.9032397077919,3
"BOYuhSp","coarse",1091.66666666667,293.464364673691,3
"BOYuhSp","fine",2082.66666666667,145.582737071857,3
"BRA1","coarse",1384.66666666667,100.161536196952,3
"BRA1","fine",2144,55.6506963119061,3
"BRA2","coarse",932.5,188.797510576808,3
"BRA2","fine",1876.5,215.667568261897,3
"BRAob","coarse",1644.33333333333,279.453633601951,3
"BRAob","fine",2138.66666666667,118.567842745549,3
"BRAohBo","coarse",2502,75.8221603490696,3
"BRAohBo","fine",2286,97.0772887960925,3
"FAL1","coarse",16,27.712812921102,3
"FAL1","fine",1970,43.2087954009366,3
"FAL2","coarse",NA,NA,3
"FAL2","fine",NA,NA,3
"GRU1","coarse",1727.33333333333,174.247907687104,3
"GRU1","fine",2424.66666666667,51.6752681012238,3
"GRU2","coarse",1433.33333333333,350.374561481471,3
"GRU2","fine",2322,35.5105618091294,3
"HAAob","coarse",44,4,3
"HAAob","fine",2102.33333333333,42.3359579238896,3
"HAAun","coarse",267,139.12943613772,3
"HAAun","fine",2087.33333333333,129.330326425527,3
"KIN1","coarse",1752,126.502964392144,3
"KIN1","fine",2173.33333333333,34.6458270695521,3
"KIN2","coarse",1601.66666666667,234.80701295603,3
"KIN2","fine",2218.66666666667,98.784276751583,3
"KIN3","coarse",1497.66666666667,339.346921797345,3
"KIN3","fine",2169.66666666667,112.571458786556,3
"KIN4","coarse",746.666666666667,363.442338388545,3
"KIN4","fine",2090,95.3572231139308,3
"KIRob","coarse",963.333333333333,344.59589860202,3
"KIRob","fine",2197.33333333333,76.5593451730965,3
"KIRun","coarse",971.666666666667,478.176048473084,3
"KIRun","fine",2132.66666666667,63.1057313826039,3
"KLI","coarse",NA,NA,3
"KLI","fine",2200.66666666667,347.741762423401,3
"KRE1","coarse",654.666666666667,92.3814555705491,3
"KRE1","fine",2059.66666666667,49.0747728811182,3
"KRE2","coarse",414.666666666667,300.093874201613,3
"KRE2","fine",1982.66666666667,74.2720225477492,3
"LIEohBo","coarse",2391.33333333333,239.209810278202,3
"LIEohBo","fine",2789.33333333333,829.430125648528,3
"NATohBo","coarse",1311.33333333333,497.58349383127,3
"NATohBo","fine",2248,117.042727240952,3
"ORB1","coarse",1016.33333333333,188.399398442069,3
"ORB1","fine",2262.33333333333,168.417140853695,3
"ORB2","coarse",156.666666666667,165.05857546136,3
"ORB2","fine",2320.66666666667,151.26907593204,3
"QUAohBo","coarse",140.333333333333,69.2411245816627,3
"QUAohBo","fine",2227.66666666667,56.447615833916,3
"ROTB","coarse",1572.66666666667,516.631719248183,3
"ROTB","fine",2332.66666666667,50.6392469664914,3
"SAL1","coarse",1394.66666666667,460.627108769483,3
"SAL1","fine",2074,120.925596959453,3
"SAL2","coarse",1447.33333333333,761.191390737792,3
"SAL2","fine",2063,106.943910532578,3
"SCHB","coarse",1244,440.214720335429,3
"SCHB","fine",2383.33333333333,65.5769268366044,3
"SCHohVo","coarse",358.666666666667,135.123400391395,3
"SCHohVo","fine",2295,128.642916633602,3
"SPEB","coarse",1124.66666666667,438.949123855298,3
"SPEB","fine",2318,70.5053189482893,3
"STE1","coarse",1357.33333333333,347.731697337665,3
"STE1","fine",1999.33333333333,253.016468502217,3
"STE2","coarse",1526,299.961664217279,3
"STE2","fine",2156.66666666667,116.251164868716,3
"VORohBo","coarse",1366,323.346563303215,3
"VORohBo","fine",2362,18.5202591774521,3
"VORuhSc","coarse",1332,259.986538113034,3
"VORuhSc","fine",2304.66666666667,35.5715241918774,3
"WITob","coarse",512.333333333333,311.480871536814,3
"WITob","fine",2457,88.3402513014311,3
