"stream","type","mean_OMD_60","sd_OMD_60","n"
"BIE1","coarse",13.43,11.6715166109636,3
"BIE1","fine",25.2133333333333,3.71917105459447,3
"BIE2","coarse",0,0,3
"BIE2","fine",20.7066666666667,3.07685445436298,3
"BOYkl","coarse",7.99333333333333,7.00771955298821,3
"BOYkl","fine",15.16,0.528866712887094,3
"BOYohB224","coarse",16.3933333333333,2.58031651805226,3
"BOYohB224","fine",21.26,5.51002722316324,3
"BOYohBr","coarse",3.89,6.73767764144293,3
"BOYohBr","fine",15.4233333333333,0.83290655738404,3
"BOYohKi","coarse",10.94,9.47431791740176,3
"BOYohKi","fine",17.2766666666667,1.62142941053051,3
"BOYohSp","coarse",12.89,7.76165575119124,3
"BOYohSp","fine",17.2566666666667,1.55094594790835,3
"BOYuhHa","coarse",15.62,2.02296811640718,3
"BOYuhHa","fine",21.9966666666667,6.59926005953193,3
"BOYuhSp","coarse",14.4133333333333,6.80735141838097,3
"BOYuhSp","fine",16.3533333333333,1.60481566958119,3
"BRA1","coarse",8.44,8.72254550002464,3
"BRA1","fine",18.1066666666667,1.55513129134917,3
"BRA2","coarse",0,0,3
"BRA2","fine",17.15,2.36173664916307,3
"BRAob","coarse",16.7933333333333,2.34551344769825,3
"BRAob","fine",16.8533333333333,1.72865072624094,3
"BRAohBo","coarse",19.1133333333333,2.39084364468556,3
"BRAohBo","fine",17.79,2.12198020725925,3
"FAL1","coarse",0,0,3
"FAL1","fine",18.44,3.57853321907175,3
"FAL2","coarse",NA,NA,3
"FAL2","fine",NA,NA,3
"GRU1","coarse",15.8633333333333,2.95269932999168,3
"GRU1","fine",19.9733333333333,1.95684269509159,3
"GRU2","coarse",15.5566666666667,7.25200891707486,3
"GRU2","fine",16.6966666666667,2.98419726783156,3
"HAAob","coarse",0,0,3
"HAAob","fine",17.6633333333333,2.72221111108844,3
"HAAun","coarse",12.71,11.0411186027504,3
"HAAun","fine",15.4933333333333,2.90519075678919,3
"KIN1","coarse",16.0233333333333,1.53118690346193,3
"KIN1","fine",19.5933333333333,1.04543451891227,3
"KIN2","coarse",15.4533333333333,1.57823741348801,3
"KIN2","fine",18.0833333333333,3.46182514482366,3
"KIN3","coarse",9.74666666666667,8.44257267267113,3
"KIN3","fine",16.2366666666667,1.91974824738384,3
"KIN4","coarse",2.06333333333333,3.57379816628378,3
"KIN4","fine",19.7266666666667,0.932165936587115,3
"KIRob","coarse",17.3966666666667,1.07374733216587,3
"KIRob","fine",16.72,1.19012604374495,3
"KIRun","coarse",15.3533333333333,0.516171806023279,3
"KIRun","fine",17.42,1.91501958214531,3
"KLI","coarse",0,0,3
"KLI","fine",14.2233333333333,5.45732840621978,3
"KRE1","coarse",4.97666666666667,6.32918899491343,3
"KRE1","fine",17.97,3.58501046023579,3
"KRE2","coarse",11.47,12.87108775512,3
"KRE2","fine",17.4866666666667,2.07928673667999,3
"LIEohBo","coarse",17.7466666666667,2.05507501890645,3
"LIEohBo","fine",17.5633333333333,2.1227419375264,3
"NATohBo","coarse",18.3766666666667,1.21397418973112,3
"NATohBo","fine",20.5533333333333,2.98844998842767,3
"ORB1","coarse",13.7633333333333,5.81571434419997,3
"ORB1","fine",17.3433333333333,0.453468117218105,3
"ORB2","coarse",2.16333333333333,3.74700324704067,3
"ORB2","fine",19.53,0.262868788561897,3
"QUAohBo","coarse",0,0,3
"QUAohBo","fine",17.46,0.416173040933698,3
"ROTB","coarse",19.5966666666667,1.63279923240224,3
"ROTB","fine",15.4866666666667,1.03253732781596,3
"SAL1","coarse",15.4833333333333,5.60033332341329,3
"SAL1","fine",16.7966666666667,0.153079500042733,3
"SAL2","coarse",10.71,9.42162937076173,3
"SAL2","fine",17.2433333333333,1.41736845362571,3
"SCHB","coarse",19.23,2.99681497593695,3
"SCHB","fine",17.2166666666667,1.48729060150777,3
"SCHohVo","coarse",11.1366666666667,6.36717624487758,3
"SCHohVo","fine",17.8533333333333,2.22659680529128,3
"SPEB","coarse",17.26,4.32958427565511,3
"SPEB","fine",16.3833333333333,1.05077748992512,3
"STE1","coarse",13.9833333333333,2.17092914056017,3
"STE1","fine",13.6566666666667,8.53320768136656,3
"STE2","coarse",17.3033333333333,1.83712637924921,3
"STE2","fine",17.17,1.81049716928804,3
"VORohBo","coarse",17.5366666666667,1.8276852391299,3
"VORohBo","fine",17.14,1.44357195871907,3
"VORuhSc","coarse",10.4933333333333,9.18430363899917,3
"VORuhSc","fine",18.6433333333333,1.53663051295142,3
"WITob","coarse",16.1633333333333,2.10088870084384,3
"WITob","fine",17.4233333333333,0.602854321816916,3
